Name,Latin name,Other names,Relative growing difficulty,Growing difficulty : Soil,Growing difficulty : Pests,Care difficulty,Height,Planting distance,Sowing depth,Coldest USDA hardiness zone,Category,Scientific family,Plant group,Can be harvested from year,Plant diseases,Pests,Soil PH,Preferred soil type,Sunshine needed,Soil drainage,Zone 2 - Time to plant,Zone 2 - Time to harvest,Zone 3 - Time to plant,Zone 3 - Time to harvest,Zone 4 - Time to plant,Zone 4 - Time to harvest,Zone 5 - Time to plant,Zone 5 - Time to harvest,Zone 6 - Time to plant,Zone 6 - Time to harvest,Zone 7 - Time to plant,Zone 7 - Time to harvest,Zone 8 - Time to plant,Zone 8 - Time to harvest,Zone 9 - Time to plant,Zone 9 - Time to harvest,Zone 10 - Time to plant,Zone 10 - Time to harvest,Zone 11 - Time to plant,Zone 11 - Time to harvest,Image URL
Acorn Squash,Cucurbita pepo,"Pepper squash, Des Moines squash",4,3,2,4,15,24,0.5,3,Fruits,Cucurbitaceae,Squash,0,"Bacterial wilt,Blossom-end rot,Downy mildew,Powdery mildew,Scab,Viruses,","Aphids,Squash bugs,Squash vine borers,Stink bugs,Striped cucumber beetles,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"June,","September,","June,","September,","July,June,May,","August,October,September,","July,June,May,","August,October,September,","April,May,","August,July,","April,May,","August,July,","April,March,September,","December,July,June,","April,March,September,","December,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/acorn-squash-cucurbita-pepo-60x45.jpg
Adzuki Bean,Vigna angularis,"Azuki, aduki, English red mung bean",3,4,3,3,18,15,1,3,Podded,Fabaceae,Bean,0,"Bacterial stem rot,White mold,","Aphids,","Neutral,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/adzuki-bean-vigna-angularis-60x48.jpg
Amish Deer Tongue Lettuce,Lactuca sativa,"Matchless lettuce, Deer tongue looseleaf lettuce",5,5,5,5,10,8,0.5,3,Leaf,Amaranthaceae,Lettuce,0,"Damping off,Downy mildew,Fusarium,Mosaic virus,","Aphids,Cabbage loopers,Cutworms,Leafhoppers,Leafminers,Slugs,Wireworms,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","Well-drained,",,,"April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,October,September,","April,August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/amish-deer-tongue-lettuce-lactuca-sativa-60x80.jpg
Amish Paste Tomato,Solanum lycopersicum,,3,3,3,4,24,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,September,","April,June,March,May,","August,July,September,","April,March,May,","August,September,","April,March,May,","August,September,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,October,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,October,",,,https://cdn.sympathink.com/wp-content/uploads/amish-paste-tomato-solanum-lycopersicum-60x45.jpg
Anise,Pimpinella anisum,Aniseed,1,1,2,1,24,1,0.5,4,Herbs,Apiaceae,No group,0,"No serious disease problems,","No serious pest problems,","Neutral,Slightly acidic,","Loam,","Full sun,","Well-drained,",,,,,"June,May,","August,September,","June,May,","August,September,","June,May,","August,September,","June,May,","August,September,","April,May,","August,July,","April,May,","August,July,",,,,,https://cdn.sympathink.com/wp-content/uploads/anise-pimpinella-anisum-60x90.jpg
Apollo Asparagus,Asparagus officinalis,,4,2,5,3,84,21,8,3,Bulb & stem,Asparagaceae,Asparagus,3,"Crown rot,Fusarium wilt,Rust,","Asparagus beetles,","Neutral,","Loam,","Full sun,Part shade,","Loose soil,",,,"April,March,May,","June,","April,March,May,","June,","April,February,March,May,","May,","April,February,March,May,","May,","April,February,March,","April,May,","April,February,January,March,","April,May,","April,February,January,March,","April,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/anise-pimpinella-anisum-60x90.jpg
Aromato Basil,Ocimum basilicum,Aromatto Basil,2,4,2,2,18,11,0.5,3,Herbs,Lamiaceae,Basil,0,"Bacteria,Fungi,","Aphids,","Acidic,Alkaline,Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,May,","April,June,March,May,","August,July,June,May,","April,March,May,","August,July,June,","April,March,May,","August,July,June,","April,February,March,May,","April,August,July,June,May,","April,February,March,May,","April,August,July,June,May,","April,December,February,January,March,","April,July,June,March,May,","April,December,February,January,March,","April,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/anise-pimpinella-anisum-60x90.jpg
Artichoke,Cynara cardunculus var. scolymus,Globe artichoke,5,5,5,4,54,30,0.5,6,Flowers & flower buds,Asteraceae,Artichoke,1,"No serious disease problems,","Aphids,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,,,,,,,"June,May,","August,July,October,September,","June,May,","August,July,October,September,","June,May,","August,July,October,September,","June,May,","August,July,October,September,",,,,,https://cdn.sympathink.com/wp-content/uploads/anise-pimpinella-anisum-60x90.jpg
Arugula,Eruca sativa,"Rocket, garden rocket, rocket salad, rucola, rucoli, rugula, colewort, roquette",1,1,2,1,18,6,0.25,3,Leaf,Brassicaceae,No group,0,"No serious disease problems,","Flea beetles,","Neutral,Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"August,July,June,May,","August,July,June,September,","August,July,June,May,","August,July,June,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,July,June,May,September,","August,July,June,May,September,","April,August,July,June,March,May,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,October,September,","April,August,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/arugula-eruca-sativa-60x40.jpg
Asparagus,Asparagus officinalis,Sparrow grass,4,2,5,3,84,21,8,3,Bulb & stem,Asparagaceae,Asparagus,3,"Crown rot,Fusarium wilt,Rust,","Asparagus beetles,","Neutral,","Loam,","Full sun,Part shade,","Loose soil,",,,"April,March,May,","June,","April,March,May,","June,","April,February,March,May,","May,","April,February,March,May,","May,","April,February,March,","April,May,","April,February,January,March,","April,May,","April,February,January,March,","April,May,",,,,,https://cdn.sympathink.com/wp-content/uploads/asparagus-officinalis-60x40.jpg
